SampleID	Group	Ia  	Ib	Ic	 IIa	 IIa'	IIb	IIb'	IIc  	IIc'  	IIIa  	IIIa'  	IIIb 	IIIb' 
NMCII4H	NH	0.080973803	0.082561524	0.013231013	0.103731146	0.194760519	0.056364117	0.153215136	0	0	0.119343742	0.170944694	0.024874305	0
NMCII4L	NL	0.096078598	0.071708064	0.0083787	0.226139843	0.162895543	0.088507996	0.059841783	0.00318986	0.006464784	0.152900646	0.109561075	0.005656686	0.008676421
NMCIII4L	NL	0.092634393	0.08030888	0.007425007	0.220938521	0.184585685	0.081348381	0.066765667	0.001752302	0.006534007	0.138105138	0.104900505	0.004811405	0.00989011
NMCIII5H	NH	0.098201542	0.067941764	0	0.168569797	0.231515844	0.077219526	0.086069084	0	0	0.106622895	0.146874108	0.004282044	0.012703397
NMCIII5L	NL	0.091788009	0.081707245	0.007545835	0.183517067	0.179744149	0.086895007	0.086128633	0.003419207	0.008253257	0.13482285	0.117432058	0.005895184	0.0128515
NMCIV1L	NL	0.092026507	0.06477127	0.003420265	0.218469431	0.168234288	0.088713125	0.064557503	0.001710133	0.004275331	0.169516888	0.117464729	0.00651988	0.00032065
NMCIV4L	NL	0.159315068	0.026575342	0	0.424657534	0.098082192	0.034520548	0.01260274	0.005342466	0.002465753	0.182876712	0.053561644	0	0
NMCV10L	NL	0.057665904	0.079633867	0.011441648	0.117620137	0.173455378	0.111212815	0.13180778	0	0	0.121281465	0.173913043	0	0.021967963
NMCV1H	NH	0.136363636	0.046846011	0	0.079313544	0.228664193	0.062152134	0.111781076	0	0	0.071892393	0.224953618	0.015769944	0.022263451
NMCV1L	NL	0.092539455	0.057388809	0	0.073170732	0.230989957	0.06241033	0.153515065	0	0.040889527	0	0.270444763	0	0.018651363
NMCV3L	NL	0.077601948	0.061472915	0.008216677	0.127510651	0.203895313	0.049300061	0.112903226	0	0	0.104382228	0.231588558	0	0.023128424
NMCV5L	NL	0.065201284	0.068658928	0.013336626	0.142257347	0.1689306	0.060755742	0.122252408	0	0	0.109656705	0.220301309	0.00543344	0.023215609
NMCV7H	NH	0.137787056	0.017596183	0	0.135102893	0.189084402	0.09394572	0.120489114	0	0	0.104682374	0.176856546	0.006859529	0.017596183
NMCV7L	NL	0.07953604	0.053024027	0	0.131731566	0.256006628	0.03976802	0.108533554	0	0	0.118475559	0.212924606	0	0
NMCVI1H	NH	0.096749095	0.070160008	0.005006597	0.21139339	0.18280843	0.075707858	0.077568418	0.008727716	0.001420791	0.154257298	0.100436386	0.005277223	0.01048679
NMCVI1L	NL	0.082837947	0.082204791	0.012698301	0.229835731	0.147771642	0.065109571	0.030848781	0.003060255	0.0025678	0.226001618	0.107214464	0.005944634	0.003904464
NMCVI4H	NH	0.134575087	0.055180442	0	0.269848661	0.188591385	0.036786962	0.059138533	0.033294529	0.004889406	0.120372526	0.097322468	0	0
NMCVI4L	NL	0.088563917	0.078047979	0	0.19487348	0.151495235	0.103516267	0.087085113	0	0	0.147880381	0.130134735	0.006572461	0.01183043
NMCVI6H	NH	0.084263959	0.067005076	0.012690355	0.173604061	0.161167513	0.076649746	0.108375635	0	0	0.136548223	0.163451777	0	0.016243655
NMCVI6L	NL	0.062028281	0.058731673	0.003990631	0.140886614	0.174459964	0.095341372	0.089268674	0.001995315	0.008762037	0.170122322	0.165784679	0.010497094	0.018131344
YZYC2L	YL	0.137061404	0.110745614	0.037280702	0.213815789	0.120614035	0.096491228	0.082236842	0	0	0.125	0.076754386	0	0
YZYC3H	YH	0.117001201	0.100874936	0.016812489	0.188368502	0.1540573	0.088694459	0.084920226	0.012523589	0.005832904	0.108938068	0.105678504	0.016297821	0
YZYC3L	YL	0.156602616	0.075681035	0.009914546	0.369812568	0.096076672	0.043576791	0.03890279	0.003021576	0.004485152	0.151173221	0.043151881	0.002549455	0.005051697
YZYC4H	YH	0.115270351	0.13963161	0	0.137849079	0.178847296	0.10932858	0.196078431	0.008318479	0.007724302	0.071301248	0.004159239	0	0.031491384
YZYC4L	YL	0.093941971	0.123901333	0.017578679	0.147812116	0.180323221	0.090067101	0.090539647	0.008033267	0.009072866	0.130516964	0.094320008	0.005292505	0.008600321
YZYC5L	YL	0.181009476	0.126087797	0.013391994	0.232982015	0.17653742	0.054172307	0.06260878	0.001619609	0.003166699	0.086395281	0.055163411	0.002078902	0.004786308
YZYC7H	YH	0.188941747	0.048200341	0.006013823	0.328965084	0.171708105	0.043084104	0.027645633	0.003231308	0.001525895	0.114980702	0.065703258	0	0
YZYC7L	YL	0.161934934	0.072255392	0.024369441	0.316680882	0.125258925	0.07188985	0.038016328	0.02047033	0.005848666	0.118191787	0.0392348	0.003289874	0.002558791
