SampleID	Group	Unassigned	Arthrobacter	Unassigned	Mucilaginibacter	Unassigned	Thermomarinilinea	Unassigned	Smithella	Paludibacter	Unassigned	Unassigned	Aquisphaera	Gemmata	Actinomycetospora	Unassigned	Unassigned	Unassigned	Unassigned	Zavarzinella	Propionispira	Methyloversatilis	Rhodococcus	Alkalibacter	Luedemannella	Clostridium_III	Desulfomonile	Pelolinea	Aggregicoccus	Unassigned	Unassigned	Noviherbaspirillum	Nitrosospira	Unassigned	Unassigned	Marmoricola	Unassigned	Stenotrophomonas	Herbidospora	Unassigned	Aeromonas	Unassigned	Hoeflea	Unassigned	Unassigned	Enhygromyxa	Thiocapsa	Lysinibacillus	Dongia	Unassigned	Unassigned	Lysobacter	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Marisediminicola	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Povalibacter	Lewinella	Pseudolabrys	Unassigned	Cellulomonas	Methylobacter	Unassigned	Desulfosporosinus	Unassigned	Unassigned	Unassigned	Unassigned	Jatrophihabitans	Blastopirellula	Sphingomonas	Skermanella	Unassigned	Unassigned	Nakamurella	Pseudoxanthomonas	Microvirga	Unassigned	Nocardioides	Unassigned	Pedobacter	Unassigned	Unassigned	Unassigned	Unassigned	Methanobacterium	Unassigned	Unassigned	Unassigned	Variovorax	Aquipuribacter	Ammoniphilus	Unassigned	Caulobacter	Unassigned	Solirubrobacter	Nitrospira	Unassigned	Unassigned	Unassigned	Gemmatimonas	Rhodomicrobium	Virgisporangium	Vasilyevaea	Cryobacterium	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Pedomicrobium	Unassigned	Chondromyces	Rhizobium	Unassigned	Sulfurovum	Unassigned	Unassigned	Leptolinea	Unassigned	Unassigned	Unassigned	Unassigned	Nocardia	Unassigned	Unassigned	Methanothrix	Unassigned	Unassigned	Unassigned	Ferruginibacter	Unassigned	Unassigned	Desertibacter	Rhizocola	Defluviicoccus	Unassigned	Unassigned	Unassigned	Thiobacillus	Bosea	Unassigned	Unassigned	Dokdonella	Unassigned	Unassigned	Unassigned	Thermomonas	Ornatilinea	Aquihabitans	Propionicimonas	Rhizomicrobium_electricum	Gemmobacter	Cryptosporangium	Phenylobacterium	Roseomonas	Unassigned	Labilithrix	Unassigned	Unassigned	Unassigned	Prosthecobacter	Unassigned	Unassigned	Blastococcus	Asanoa	Unassigned	Ohtaekwangia_koreensis	Unassigned	Janthinobacterium	Arenimonas	Aureimonas	Unassigned	Lactobacillus	Rubrobacter	Kineosporia	Unassigned	Ramlibacter	Anaerolinea	Ornithinibacter	Unassigned	Unassigned	Unassigned	Unassigned	Dyadobacter	Syntrophobacter	Dactylosporangium	Pirellula	Unassigned	Unassigned	Parasegetibacter	Unassigned	Clostridium_XlVa	Unassigned	Sphingorhabdus	Bauldia	Unassigned	Pseudonocardia	Streptosporangium	Unassigned	Unassigned	Unassigned	Rhodoferax	Unassigned	Unassigned	Citricoccus	Unassigned	Unassigned	Ilumatobacter	Unassigned	Modestobacter	Unassigned	Unassigned	Proteiniclasticum	Unassigned	Unassigned	Unassigned	Unassigned	Chiayiivirga	Adhaeribacter	Micromonospora	Unassigned	Steroidobacter	Unassigned	Actinoplanes	Unassigned	Unassigned	Reyranella_soli	Unassigned	Anaerovorax	Unassigned	Acetobacterium	Sediminibacterium	Oryzihumus	Agromyces	Unassigned	Unassigned	Alsobacter	Unassigned	Catellatospora	Clostridium_XI	Unassigned	Reyranella_graminifolii	Variibacter	Unassigned	Unassigned	Labrys	Unassigned	Unassigned	Unassigned	Mycobacterium	Alterococcus	Planococcus	Pseudofulvimonas	Methylocystis	Unassigned	Methylobacterium	Luteolibacter	Unassigned	Acidovorax	Unassigned	Microbacterium	Unassigned	Actinoallomurus	Devosia	Cystobacter	Microlunatus	Unassigned	Unassigned	Unassigned	Desulfocapsa	Unassigned	Romboutsia	Mizugakiibacter	Unassigned	Unassigned	Unassigned	Bacillus	Polaromonas	Lysinimonas	Clostridium_sensu_stricto	Unassigned	Cohnella	Psychrosinus	Sphingopyxis	Conexibacter	Unassigned	Unassigned	Unassigned	Unassigned	Flavitalea	Haliangium	Unassigned	Unassigned	Belnapia	Unassigned	Unassigned	Unassigned	Methylocapsa	Sideroxydans	Kribbella	Angustibacter	Flavisolibacter	Methylomonas	Unassigned	Anaeromyxobacter	Brevundimonas	Unassigned	Unassigned	Algoriphagus	Bradyrhizobium	Unassigned	Pseudomonas	Unassigned	Actinosynnema	Unassigned	Unassigned	Kocuria	Unassigned	Nesterenkonia	Aeromicrobium	Flavobacterium	Rhodopirellula	Unassigned	Pelotomaculum	Syntrophorhabdus_aromaticivorans	Unassigned	Rhodanobacter	Unassigned	Unassigned	Unassigned	Geothrix	Unassigned	Streptomyces	Unassigned	Unassigned	Paenibacillus	Iamia	Planctomicrobium	Geobacter	Tahibacter	Unassigned	Minicystis	Pediococcus	Massilia	Turicibacter	Dyella	Unassigned	Sphaerisporangium	Unassigned	Unassigned	Terrimonas	Unassigned	Unassigned	Unassigned	Phyllobacterium	Unassigned	Sporosarcina	Sanguibacter	Mariniflexile	Unassigned	Unassigned	Phycicoccus	Unassigned	Unassigned	Azohydromonas	Gimesia	Thermogutta	Allocatelliglobosispora	Unassigned	Unassigned	Unassigned	Unassigned	Chryseolinea_serpens	Unassigned	Janibacter	Gaiella	Unassigned	Unassigned	Litorilinea	Euzebya	Hydrogenophaga	Fluviicola	Unassigned	Desulfuromonas	Unassigned	Spirochaeta	Unassigned	Unassigned	Unassigned	Unassigned	Chryseobacterium	Singulisphaera	Actinomadura	Mesorhizobium	Neochlamydia	Unassigned	Unassigned	Methanoregula	Desulfobacca	Rhizorhabdus	Unassigned	Roseiarcus	Hyphomicrobium	Asticcacaulis	Parafilimonas	Unassigned	Opitutus	Unassigned	Unassigned	Unassigned	Chthonomonas/Armatimonadetes_gp3	Aquaspirillum	Armatimonas/Armatimonadetes_gp1	Mumia	Unassigned	Unassigned	Unassigned	Unassigned	Kineococcus	Byssovorax	Sulfuriferula
NMCI1H	NH	656	11	0	0	0	0	32	0	0	0	0	36	47	6	9	0	94	582	27	0	0	0	0	0	0	0	0	3	0	27	0	0	0	40	114	5	1	2	0	0	0	0	0	0	0	0	0	4	0	0	38	1580	0	1	922	56	6	0	1	1148	1	7	0	2	7	21	14	12	0	161	0	4	33	83	0	1	34	372	3	37	0	48	2	124	0	421	59	9	0	33	11	18	0	14	2	169	39	1	0	750	18	0	378	1	0	0	31	16	13	18	4	2	134	13	21	0	8	114	360	9	52	0	0	14	12	0	26	61	0	0	0	19	17	0	14	198	558	96	4	0	0	48	0	2	44	1	0	11	17	40	21	285	0	18	1	0	41	0	0	0	17	31	13	780	11	1	15	175	1	0	26	1	21	0	0	44	0	17	1	0	0	18	65	6	2	0	1	320	0	0	0	2	0	35	18	8	38	26	4	0	9	6	1	15	349	27	51	0	0	2	0	117	2	69	0	253	455	13	512	0	0	0	1	7	0	0	0	264	4	7	6	176	0	110	47	360	0	11	0	5	1	2	0	0	0	0	1	1	51	6	2	328	0	35	40	4	0	204	1	0	0	0	9	37	6	67	6	247	2	8	0	77	0	19	0	38	207	0	29	1	0	0	344	0	4	0	9	3	7	6	2	3	15	0	0	0	81	5	14	0	13	0	0	0	0	2	0	1	0	14	0	0	0	8	0	80	0	285	1	16	7	1	9	0	0	3	0	3	2	0	0	0	0	0	8	0	3	0	0	0	102	11	45	17	7	0	0	0	1	1	0	97	0	0	1769	14	0	25	213	0	0	0	58	0	1	0	0	0	7	3	9	40	2	1	14	1	0	0	0	0	139	0	0	132	0	2	30	0	8	0	2	0	0	0	453	24	0	0	0	8	0	204	1	0	10	0	0	1	10	4	118	4	5	0	31	45	4	0	0	1	2	0	14	50	0	0	29	3	0
NMCII4H	NH	929	75	0	1	0	0	6	0	0	0	0	16	6	0	1	5	20	516	23	0	0	1	5	1	0	0	0	0	16	46	0	0	0	89	39	4	0	1	5	0	0	0	0	0	0	0	3	2	0	0	8	1958	13	10	2095	49	0	0	1	2653	28	69	0	5	33	1	40	12	0	358	17	13	35	33	0	0	45	136	21	35	0	2	6	13	0	252	190	5	0	26	18	90	0	12	2	164	5	1	0	1641	12	1	809	175	0	5	33	15	0	7	10	1	250	3	24	0	63	240	12	1	16	11	0	90	45	0	23	34	0	0	0	43	32	0	31	44	1325	46	11	0	0	1	1	2	71	0	0	5	23	271	0	695	0	20	0	0	27	0	0	0	0	11	2	643	3	0	28	849	0	4	26	8	2	3	7	249	0	3	0	0	154	37	22	0	4	0	0	75	0	0	2	0	0	1	36	144	16	12	22	0	2	5	1	53	212	8	169	0	0	0	3	136	0	17	0	194	219	5	480	0	0	0	0	7	0	0	0	8	16	8	4	23	5	30	17	568	0	33	12	0	105	5	41	0	0	0	1	0	37	1	1	93	0	8	172	6	14	42	8	0	0	0	6	11	14	71	0	363	13	11	0	27	0	30	1	9	384	0	16	1	0	1	535	0	2	1	3	96	18	0	0	1	161	0	0	0	58	3	4	1	23	0	3	0	0	1	0	0	4	0	0	0	0	9	10	67	0	53	0	2	7	0	75	0	2	7	0	12	15	0	0	0	0	3	0	0	26	0	1	0	64	5	15	3	10	4	9	0	5	7	20	8	0	0	2167	0	0	28	203	2	2	0	20	0	10	0	0	0	12	0	60	46	12	1	17	8	0	1	6	2	90	0	0	763	5	14	24	0	2	0	6	8	0	0	1128	47	0	9	0	1	0	54	0	0	3	0	0	0	1	0	282	1	1	0	22	63	0	0	0	0	5	0	3	39	0	0	34	4	0
NMCII4L	NL	1807	52	0	0	1	0	25	2	0	0	0	6	11	0	12	2	69	343	15	1	1	2	1	5	2	1	0	2	68	17	0	1	5	644	97	2	0	0	2	0	0	0	0	0	0	0	10	4	0	0	3	1885	9	27	1887	57	3	0	14	2220	21	27	7	1	9	49	0	32	112	455	20	6	326	93	11	26	12	349	2	50	0	3	1	12	18	219	118	9	0	36	10	1588	9	22	3	167	0	0	1	2291	7	0	579	144	5	31	60	70	10	0	2	17	281	10	84	6	9	57	49	6	3	13	0	26	60	0	57	67	0	0	0	6	2	0	1	49	3536	166	16	0	0	0	231	3	558	0	0	0	26	583	1	3623	0	7	1	2	43	43	1	0	25	39	8	1000	21	5	34	267	3	4	4	0	4	0	1	54	0	45	0	36	160	0	25	5	13	74	0	222	0	0	17	1	1	11	35	508	6	1	50	28	2	2	5	46	102	0	99	11	15	24	0	115	0	18	1	243	426	0	476	0	0	113	3	0	0	0	0	12	37	0	2	42	7	124	9	280	0	0	7	9	6	0	12	0	0	0	0	0	28	2	7	78	23	1	229	25	2	120	4	0	0	17	3	1	10	55	13	526	0	12	0	19	0	1	2	13	1075	10	31	9	0	3	866	4	3	10	0	242	10	0	11	0	154	5	6	2	170	2	16	1	5	0	0	0	26	2	1	0	0	0	1	0	8	0	0	45	0	118	2	61	7	0	8	1	0	208	0	47	18	1	0	0	6	78	0	5	33	0	10	0	5	7	1	3	3	0	59	3	58	17	12	17	0	0	3076	1	0	33	203	5	0	2	0	1	13	1	0	0	73	0	56	201	1	0	13	0	0	4	5	16	12	1	0	466	0	27	4	0	1	0	0	3	0	1	2120	65	0	11	0	0	0	27	3	0	2	0	0	0	2	0	400	1	3	2	18	408	4	1	1	1	0	0	2	36	1	0	21	7	0
NMCIII4L	NL	237	3	0	0	0	0	29	0	0	0	0	0	2	0	4	0	21	31	3	0	0	1	0	0	2	37	3	2	20	5	0	0	1	831	17	0	0	0	0	0	0	0	0	0	0	0	31	8	0	0	0	236	1	49	578	6	0	0	6	1213	0	3	26	0	0	35	0	0	15	107	24	3	186	4	11	15	6	13	0	3	0	1	0	3	28	31	51	1	0	4	5	1473	0	5	0	15	0	0	0	436	8	0	138	44	2	1	21	30	14	0	0	0	94	2	46	14	5	12	12	4	0	0	0	24	20	0	21	37	2	0	0	0	0	0	0	8	2381	20	13	0	0	0	312	0	158	1	13	0	12	428	0	4081	0	1	0	2	38	29	0	0	4	5	1	306	24	2	14	10	1	0	0	0	3	0	0	7	0	0	0	32	33	0	0	0	1	49	0	178	0	0	2	0	2	0	2	115	0	0	7	15	0	0	0	84	16	0	16	9	5	22	0	4	0	2	2	66	71	0	277	0	0	42	6	0	0	0	0	2	24	0	0	10	3	77	8	58	1	0	4	3	3	0	2	0	0	0	0	5	2	8	0	53	40	3	332	1	2	173	11	0	0	0	8	0	3	10	0	161	0	2	0	4	1	0	0	2	903	17	47	19	0	0	196	18	10	1	0	195	0	0	2	0	100	0	6	0	94	0	16	0	1	0	0	0	47	0	0	0	0	0	0	0	16	0	0	4	0	19	0	0	1	0	3	0	0	437	0	0	0	0	0	0	0	75	0	0	85	0	4	0	13	2	0	2	1	0	27	1	24	0	3	1	1	0	1295	0	0	26	92	1	0	0	0	1	3	0	0	0	114	0	16	91	0	0	4	0	5	9	9	16	0	1	0	115	0	46	3	0	0	0	0	0	0	0	630	8	1	6	0	1	0	6	0	0	0	0	0	0	0	0	194	0	0	0	22	590	4	2	0	1	0	0	0	6	0	0	3	4	0
NMCIII5H	NH	1364	2	0	1	0	0	90	0	0	0	0	3	4	0	6	0	44	327	3	0	1	0	0	1	2	0	0	1	1	29	0	0	0	127	64	5	0	0	1	0	0	0	0	0	0	0	0	6	0	0	16	1253	0	1	4115	21	2	0	9	3405	119	29	1	4	2	60	7	0	0	301	1	24	122	48	0	7	31	156	23	65	0	3	14	43	0	202	114	2	0	26	20	116	0	44	2	288	4	0	0	926	22	0	881	130	0	0	39	21	0	10	15	1	293	7	9	0	21	278	54	10	50	0	0	32	19	0	15	64	0	0	0	26	1	0	7	81	1883	62	9	0	0	12	6	0	197	4	0	5	20	544	18	867	0	10	0	0	72	4	21	0	1	28	4	1290	9	1	12	229	0	4	26	1	9	4	5	98	0	19	0	3	0	1	10	1	2	0	0	255	0	0	2	0	0	33	8	32	28	19	18	10	2	0	4	25	209	6	85	0	0	8	0	53	0	31	0	411	440	4	861	0	0	0	2	0	1	0	0	21	21	10	3	20	4	58	45	715	0	17	0	4	2	0	16	0	0	0	2	0	22	12	3	280	1	21	160	6	1	181	19	0	0	6	11	2	6	43	6	1303	0	8	0	27	0	1	0	5	623	0	153	0	4	0	555	0	5	8	1	45	3	3	1	0	34	0	2	0	68	12	28	1	6	0	0	0	0	2	0	0	1	3	0	0	1	2	0	55	0	123	1	33	10	0	10	0	0	33	0	8	5	0	0	0	0	9	13	1	4	0	0	0	136	10	12	8	1	1	1	1	2	19	0	18	0	15	4417	2	1	20	322	0	0	0	19	0	1	0	0	0	14	0	5	46	0	3	24	11	0	1	5	3	133	1	0	367	7	2	12	0	0	0	1	0	0	0	1025	62	0	5	0	5	1	46	0	0	190	0	0	0	5	0	653	5	1	1	29	56	5	0	0	0	4	0	0	159	0	0	36	6	0
NMCIII5L	NL	1524	0	0	0	0	0	50	0	0	0	0	5	4	0	9	0	7	247	10	0	1	0	0	0	0	2	0	1	17	6	0	0	0	657	26	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1177	0	1	786	21	1	0	10	3026	7	55	9	1	5	8	0	3	3	497	13	27	89	8	12	8	36	32	7	14	0	0	0	3	2	46	133	1	1	3	1	294	0	61	0	38	0	0	0	1004	5	0	422	127	4	13	49	23	2	1	0	1	80	1	5	2	19	39	7	7	5	3	0	12	14	0	5	51	0	0	0	9	1	0	2	7	2221	12	15	0	0	2	48	1	165	0	1	0	27	343	0	1255	0	3	1	0	9	5	0	0	3	12	0	315	6	0	20	136	0	1	1	0	1	5	0	42	1	7	0	10	0	1	1	0	3	28	0	252	0	0	1	0	0	1	28	104	9	0	5	7	2	0	2	29	17	0	27	6	1	39	0	31	0	8	2	77	72	0	328	0	0	19	0	1	0	0	0	2	11	0	1	6	0	47	4	150	0	0	0	1	2	0	7	0	0	0	2	0	17	1	0	43	4	0	284	6	1	45	2	0	0	1	2	0	15	3	2	406	0	7	0	9	0	0	0	6	655	5	26	2	0	0	304	2	1	25	0	50	3	0	11	0	22	2	4	0	51	0	31	1	9	0	0	1	1	0	3	0	0	0	0	0	1	3	0	31	0	13	2	2	2	0	6	2	0	36	0	0	3	0	0	0	1	11	0	0	0	0	7	0	5	3	1	0	0	0	39	0	6	2	0	13	0	0	1668	1	1	37	101	0	0	0	0	0	0	0	0	0	30	0	6	146	0	0	15	3	0	1	3	32	28	1	0	102	0	2	12	0	0	0	0	5	0	0	2147	27	0	14	0	2	0	8	0	1	6	0	0	2	0	0	206	0	0	1	4	66	0	1	1	1	1	0	1	17	0	0	6	7	0
NMCIV1L	NL	284	58	0	0	0	0	21	0	0	0	0	1	5	0	22	1	47	144	9	0	0	1	0	0	2	0	0	2	6	26	0	4	0	326	11	0	0	0	1	0	0	0	0	0	0	0	44	10	0	0	4	652	8	125	1063	15	0	0	1	2062	26	21	8	26	2	6	0	5	1	178	4	0	121	18	11	2	6	97	14	23	0	60	2	4	1	70	95	7	0	17	56	99	1	67	1	134	6	0	12	359	8	0	475	171	4	41	24	69	1	27	0	1	158	8	95	4	7	207	1	8	11	3	0	4	49	0	18	87	0	0	0	15	2	0	3	35	2727	92	11	0	0	2	14	0	259	0	1	3	17	733	4	617	0	4	1	1	40	10	1	0	15	35	5	467	11	3	10	78	0	1	14	2	8	1	0	21	1	13	0	1	0	0	13	0	0	12	0	424	0	0	1	0	0	12	11	199	17	4	32	1	2	5	2	78	645	0	17	1	0	17	0	44	4	12	2	175	366	2	669	0	0	13	4	0	0	0	0	17	38	3	0	36	16	51	45	622	1	0	26	3	2	0	6	0	0	0	1	8	16	4	9	78	2	2	243	13	0	131	5	0	0	1	14	1	0	47	14	193	0	7	0	16	0	1	2	13	480	15	41	36	4	5	418	1	18	15	0	163	1	3	2	1	56	0	4	2	121	7	41	1	4	0	0	0	21	3	9	0	0	1	0	0	12	5	2	16	0	117	2	4	5	0	29	4	0	178	0	1	9	0	0	0	1	15	0	1	445	0	1	0	43	15	2	0	0	0	75	3	352	29	0	27	2	0	2956	0	0	19	262	3	0	3	0	0	63	0	0	0	24	0	19	44	0	0	5	7	0	1	6	5	33	0	0	145	0	322	9	0	1	0	0	0	0	0	398	16	0	0	3	0	0	64	0	0	7	0	0	1	4	0	247	3	0	0	27	99	5	0	0	1	0	1	0	21	0	0	7	11	0
NMCIV4L	NL	4333	316	0	1	0	0	34	0	0	0	0	6	12	1	15	3	224	476	45	0	0	0	0	0	11	0	0	6	11	23	11	7	0	169	11	12	1	0	0	0	0	0	0	0	0	0	12	5	0	0	2	1782	41	39	1240	76	0	0	1	1374	0	47	0	1	0	87	1	11	2	223	8	0	346	13	3	20	39	61	7	2	0	62	3	2	1	71	165	4	0	215	19	28	0	4	1	52	14	0	1	1983	10	1	193	221	25	79	36	137	0	2	0	1	34	24	23	2	25	24	5	4	2	5	0	34	62	0	11	84	0	0	0	10	0	0	0	27	3799	47	38	0	0	0	1	0	274	0	2	2	12	944	9	177	0	3	1	10	64	4	0	0	0	33	11	264	29	0	42	450	0	0	0	1	2	0	0	20	3	41	0	163	0	0	10	1	12	7	0	253	0	0	0	2	0	2	3	380	0	0	153	5	5	0	2	65	148	0	7	2	0	8	0	33	0	14	0	172	493	11	105	0	0	12	7	0	0	0	0	11	184	0	0	19	31	252	43	1531	0	0	0	0	11	0	1	0	1	0	1	13	3	8	19	90	5	3	77	11	21	47	1	0	0	0	11	11	7	73	3	177	0	18	0	44	0	0	0	0	523	9	64	93	0	0	459	0	7	8	1	81	5	0	1	0	89	0	12	3	103	0	4	0	45	2	12	0	0	1	3	0	0	3	0	0	30	0	0	29	0	549	23	6	4	0	0	6	4	253	0	10	2	0	0	0	0	72	0	0	105	0	0	0	14	15	1	2	0	0	125	2	75	11	0	18	2	0	2986	0	0	25	234	4	0	0	1	0	8	1	0	0	3	0	33	157	1	0	37	14	8	1	8	0	1	0	1	279	0	31	6	0	0	0	0	0	0	0	749	55	0	5	0	2	0	22	0	0	5	0	0	0	3	3	255	0	0	4	19	160	25	1	0	1	0	5	3	9	0	0	3	14	0
NMCV10L	NL	333	262	0	2	0	0	79	0	0	0	0	26	4	1	4	2	82	483	20	5	1	1	2	0	2	0	0	2	110	36	0	0	0	86	26	3	0	0	1	0	0	0	0	0	1	0	3	2	0	0	5	3760	39	20	641	55	4	3	15	1894	16	16	2	2	9	8	6	21	14	216	36	32	60	16	24	0	33	153	182	30	0	4	5	27	1	181	210	27	1	21	7	161	2	16	2	93	3	5	2	1045	3	0	221	76	2	22	45	33	29	8	9	68	185	11	32	2	25	58	1	5	22	4	0	11	115	0	12	39	0	0	1	17	20	0	16	20	1465	27	130	0	0	0	2	4	16	1	32	0	3	448	0	397	0	36	0	0	5	16	0	0	3	23	7	284	7	7	15	306	1	2	14	4	1	0	5	83	3	26	0	0	0	9	38	0	7	4	0	83	0	0	4	0	3	1	78	473	32	13	29	2	11	7	3	35	74	0	52	5	2	28	3	176	0	22	1	181	128	18	319	1	0	14	1	4	3	0	8	6	15	9	4	22	1	143	6	246	0	0	2	0	17	3	19	0	0	0	0	2	44	0	0	41	4	3	150	8	23	55	6	0	0	0	3	4	10	196	15	119	5	35	0	15	0	9	0	4	260	3	10	10	0	1	317	0	3	16	0	89	32	1	3	1	60	2	8	3	39	4	7	1	35	0	0	0	0	1	0	0	0	2	3	0	3	6	5	142	0	55	1	6	3	0	16	0	0	29	0	51	11	0	0	0	0	11	0	3	60	0	1	0	5	2	6	1	2	12	30	0	0	6	0	19	0	0	1527	0	1	34	114	9	3	2	2	0	119	0	0	0	62	3	90	69	2	0	19	1	0	0	2	2	65	0	0	444	1	34	27	0	0	0	5	8	0	0	1073	32	2	2	0	0	0	32	0	0	0	0	0	0	0	0	168	1	0	0	14	126	0	0	0	0	1	0	10	59	1	0	5	6	0
NMCV1H	NH	406	107	46	1	0	0	9	0	0	0	0	25	2	0	7	0	55	1312	15	0	0	3	0	0	1	0	0	2	62	45	0	1	9	88	69	4	0	0	1	0	0	0	0	1	0	0	20	2	0	0	33	2997	4	101	1798	22	2	0	8	3964	72	50	0	2	35	8	0	26	0	587	78	0	59	23	34	1	130	223	125	99	0	2	11	14	0	360	190	4	0	39	3	105	0	21	1	360	0	4	0	1782	4	0	410	258	11	57	30	80	0	15	16	18	432	22	17	0	65	32	4	11	26	7	0	34	128	0	23	66	0	0	0	45	86	0	48	5	1503	6	12	0	0	1	0	0	12	0	116	0	22	457	0	1039	1	4	0	0	15	3	0	8	0	9	2	809	1	2	24	1910	0	21	15	18	11	1	40	364	3	21	1	0	0	36	44	0	5	0	0	144	0	0	0	0	0	0	68	528	48	2	34	2	5	2	2	84	181	1	226	3	0	38	14	51	2	24	0	500	70	5	899	14	0	0	1	27	13	0	0	24	17	11	9	33	1	49	7	285	0	2	0	0	22	6	10	0	0	0	0	0	13	0	0	58	0	0	160	9	26	126	13	0	0	0	4	2	18	196	1	348	5	61	0	29	0	3	0	4	239	22	52	1	6	1	1126	2	21	0	1	40	28	5	2	0	3	0	1	0	36	12	14	1	20	0	1	0	3	0	24	0	0	0	0	0	1	6	2	133	0	20	10	10	0	1	71	0	3	3	0	80	1	0	0	0	0	0	0	0	157	0	0	0	79	8	1	7	1	26	137	0	2	2	0	22	0	0	2163	2	0	31	84	17	12	3	1	0	45	0	0	0	48	0	210	57	5	7	9	7	0	0	10	7	108	0	0	587	7	116	24	11	1	0	10	130	1	0	1296	114	0	7	0	0	0	97	7	0	3	0	0	0	0	0	291	0	0	2	8	21	0	0	0	0	0	0	2	86	0	5	3	0	0
