SampleID	brGDGT-Ia  	brGDGT-Ib	brGDGT-Ic	 brGDGT-IIa	 brGDGT-IIa'	brGDGT-IIb	brGDGT-IIb'	brGDGT-IIc  	brGDGT-IIc'  	brGDGT-IIIa  	brGDGT-IIIa'  	brGDGT-IIIb 	brGDGT-IIIb' 
NMCI1H	0.105316799	0.045757514	0.0050255	0.16488157	0.267526666	0.045026798	0.057584651	0.00257506	0.005885591	0.107512329	0.176034769	0.005762616	0.011110136
NMCII4H	0.08067646	0.088669328	0.012258817	0.110950482	0.194286176	0.056537559	0.155196955	0.002986164	0.012174483	0.114506435	0.14321842	0.005007196	0.023531525
NMCII4L	0.096793256	0.071501281	0.008279678	0.230537275	0.16203392	0.085783492	0.057162641	0.003345161	0.005513042	0.155367522	0.10715969	0.006840418	0.009682623
NMCIII4L	0.107184343	0.086342764	0.00873469	0.244958468	0.18025202	0.077763426	0.062222338	0.001756121	0.005884766	0.123545815	0.089727116	0.004171263	0.007456869
NMCIII5H	0.093952678	0.071023597	0.006297385	0.172520216	0.229380404	0.0823792	0.076656138	0.00263022	0.00697549	0.103602161	0.134950275	0.005854909	0.013777328
NMCIII5L	0.095153898	0.083146501	0.008629197	0.207648184	0.17434956	0.089392903	0.08325008	0.002869142	0.00896402	0.123531908	0.106183614	0.014257212	0.002623782
NMCIV1L	0.09954767	0.064553931	0.003598669	0.223004009	0.164341745	0.087233523	0.05397926	0.002253509	0.005836198	0.172295013	0.106387293	0.00725724	0.00971194
NMCIV4L	0.156339307	0.028711431	0.004632285	0.381961144	0.122117792	0.034272382	0.015619522	0.002968792	0.001832912	0.183472159	0.068072274	0	0
NMCV10L	0.06640335	0.08022936	0.008880701	0.127682004	0.173128708	0.103345534	0.114636905	0.002909751	0.009112302	0.119704197	0.165327847	0.008597039	0.020042302
NMCV1H	0.149383911	0.062040441	0.005834828	0.086408841	0.226012595	0.069714604	0.11235813	0	0	0.068677595	0.197151759	0.005487789	0.016929508
NMCV1L	0.083630415	0.046518285	0.008123762	0.068163523	0.220731131	0.047893491	0.131176297	0.002162363	0.008402196	0.073331963	0.280486657	0.005811595	0.023568321
NMCV3L	0.089596145	0.062609598	0.011431701	0.130589013	0.17434183	0.051337675	0.116137992	0.002620643	0.007739711	0.092920707	0.231623016	0.005987997	0.023063972
NMCV5L	0.065596136	0.073511383	0.012508811	0.138226767	0.169584012	0.061757327	0.120536954	0.002406927	0.008015096	0.106448588	0.213178567	0.005563596	0.022665836
NMCV7H	0.080563443	0.06033053	0.006643778	0.144626028	0.182850404	0.088360703	0.107607337	0.003870961	0.005202727	0.118840719	0.177166281	0.005924298	0.018012791
NMCV7L	0.068535958	0.050782166	0.006238671	0.144211996	0.217900986	0.037775838	0.096067677	0.002269672	0.005397412	0.128167447	0.220105125	0.00509562	0.017451433
NMCVI1H	0.097104116	0.07105213	0.005548022	0.225169241	0.174616179	0.075797673	0.070492364	0.001812171	0.006982046	0.15387002	0.100932594	0.005627851	0.010995591
NMCVI1L	0.087600894	0.081147586	0.013601104	0.237387187	0.142557707	0.069073998	0.032489323	0.003400217	0.005570236	0.210429627	0.105791154	0.005591924	0.005359043
NMCVI4H	0.148833414	0.057339503	0.006529846	0.267966321	0.176954943	0.046325589	0.052649933	0.006601374	0.005376957	0.125584088	0.096246089	0.003046526	0.006545417
NMCVI4L	0.088016086	0.07995847	0.009347776	0.195143148	0.138732231	0.096677106	0.081528903	0.006975168	0.007024501	0.145384782	0.126889851	0.008531624	0.015790354
NMCVI6H	0.088453974	0.071995697	0.008421885	0.177574373	0.150932437	0.082385718	0.094978731	0.004029112	0.007692035	0.141424395	0.150873493	0.005687935	0.015550216
NMCVI6L	0.060628111	0.056906623	0.005199499	0.159109212	0.16309723	0.098256564	0.0827644	0.002160082	0.008824269	0.168964169	0.164511763	0.009382466	0.02019561
YZYC2L	0.124765098	0.094856051	0.022856688	0.203254118	0.142989224	0.077315839	0.072712473	0.018289597	0.00905013	0.106202113	0.10039283	0.013725161	0.013590678
YZYC3H	0.121956881	0.093673065	0.018618244	0.204328473	0.158720085	0.092305841	0.07956202	0.011231108	0.007099304	0.104294688	0.0903628	0.004301095	0.013546397
YZYC3L	0.158320709	0.071781955	0.013684821	0.37554122	0.092017137	0.046738084	0.036397166	0.003843206	0.004816793	0.14962688	0.036978077	0.002948482	0.00730547
YZYC4H	0.109234928	0.135608771	0.019016718	0.125968177	0.164159882	0.099695693	0.145617812	0.006370205	0.008752018	0.062931504	0.095742066	0.005112467	0.021789758
YZYC4L	0.097682974	0.123296871	0.020649566	0.149655235	0.184164085	0.084677329	0.090173216	0.007741763	0.009886699	0.12490062	0.092652199	0.005355615	0.009163828
YZYC5L	0.180509058	0.126188491	0.014282768	0.225910655	0.180512437	0.057750386	0.063108208	0.001821358	0.003755728	0.085729253	0.050794129	0.003170902	0.006466626
YZYC7H	0.189151115	0.048173219	0.005323452	0.349771667	0.165957759	0.041471301	0.023361266	0.004293115	0.001888352	0.10632285	0.05755744	0.003211244	0.00351722
YZYC7L	0.160379887	0.067369604	0.023815731	0.300554218	0.126170977	0.072803728	0.034691746	0.021577622	0.006885739	0.130797971	0.047900728	0.003214987	0.00383706
