SampleID	tmpt	SWC	pH	Ic	Ib	Ia  	IIc  	IIc'  	IIb	IIb'	 IIa	 IIa'	IIIb 	IIIb' 	IIIa  	IIIa'  
NMCII4H	10	67.98252982	6.53	1.32310135	8.256152421	8.097380259	0	0	5.636411749	15.32151363	10.37311458	19.47605187	2.487430537	0	11.93437417	17.09446944
NMCII4L	8	109.8195552	6.89	0.837870024	7.170806397	9.607859816	0.31898605	0.646478394	8.850799592	5.984178292	22.61398435	16.28955427	0.565668595	0.867642055	15.29006465	10.95610752
NMCIII4L	10	127.8423331	6.53	0.742500743	8.030888031	9.263439263	0.175230175	0.653400653	8.134838135	6.676566677	22.09385209	18.45856846	0.481140481	0.989010989	13.81051381	10.49005049
NMCIII5H	14	94.40124417	6.73	0	6.79417642	9.820154154	0	0	7.721952612	8.606908364	16.85697973	23.15158436	0.428204396	1.270339709	10.66228947	14.68741079
NMCIII5L	11	130.5741296	6.93	0.754583505	8.170724518	9.17880092	0.341920651	0.825325709	8.689500678	8.612863291	18.35170666	17.9744149	0.589518363	1.285150032	13.48228497	11.7432058
NMCIV1L	4	71.7032967	6.81	0.342026507	6.477126977	9.202650705	0.171013254	0.427533134	8.871312527	6.455750321	21.84694314	16.82342882	0.651988029	0.032064985	16.95168876	11.74647285
NMCIV4L	8	83.45	6.92	0	2.657534247	15.93150685	0.534246575	0.246575342	3.452054795	1.260273973	42.46575342	9.808219178	0	0	18.28767123	5.356164384
NMCV10L	14	26.10340479	7.8	1.14416476	7.963386728	5.766590389	0	0	11.12128146	13.18077803	11.76201373	17.34553776	0	2.196796339	12.12814645	17.39130435
NMCV1H	15	35.6	7.46	0	4.684601113	13.63636364	0	0	6.215213358	11.17810761	7.93135436	22.86641929	1.576994434	2.226345083	7.189239332	22.49536178
NMCV1L	11	70.64846416	7.44	0	5.738880918	9.253945481	0	4.088952654	6.241032999	15.35150646	7.317073171	23.0989957	0	1.865136298	0	27.04447633
NMCV3L	12	82.44845831	7.15	0.821667681	6.14729154	7.760194766	0	0	4.930006086	11.29032258	12.75106512	20.38953135	0	2.312842362	10.43822276	23.15885575
NMCV5L	15	62.6545218	7.33	1.333662633	6.865892813	6.520128427	0	0	6.075574216	12.2252408	14.22573475	16.89306001	0.543344036	2.321560879	10.96567054	22.0301309
NMCV7H	12	71.96904557	7.23	0	1.759618252	13.77870564	0	0	9.394572025	12.04891142	13.51028929	18.9084402	0.685952878	1.759618252	10.4682374	17.68565464
NMCV7L	9	82.91567587	7.19	0	5.302402651	7.953603977	0	0	3.976801988	10.85335543	13.17315659	25.6006628	0	0	11.84755592	21.29246065
NMCVI1H	4	94.02405898	6.25	0.500659653	7.016000812	9.674909509	0.872771557	0.142079091	7.570785833	7.756841785	21.13933899	18.280843	0.527722337	1.048679003	15.42572985	10.04363858
NMCVI1L	4	134.6316283	7.04	1.269830103	8.220479088	8.283794717	0.306025537	0.256780049	6.510957121	3.084878117	22.98357311	14.77716416	0.5944634	0.390446375	22.60016181	10.72144641
NMCVI4H	5	47.08045301	6.56	0	5.518044237	13.45750873	3.329452852	0.488940629	3.678696158	5.913853318	26.98486612	18.85913853	0	0	12.03725262	9.732246799
NMCVI4L	6	51.86028853	7.24	0	7.804797897	8.856391719	0	0	10.35162668	8.708511337	19.48734801	15.1495235	0.657246139	1.18304305	14.78803812	13.01347355
NMCVI6H	6	61.52479406	7.95	1.269035533	6.700507614	8.426395939	0	0	7.664974619	10.83756345	17.36040609	16.11675127	0	1.624365482	13.65482234	16.34517766
NMCVI6L	6	111.1932418	7.59	0.399063069	5.873167346	6.202828143	0.199531535	0.876203696	9.534137243	8.926867355	14.0886614	17.44599636	1.049709378	1.81313438	17.01223215	16.57846794
YZYC2L	11	43.22543684	6.41	3.728070175	11.0745614	13.70614035	0	0	9.649122807	8.223684211	21.38157895	12.06140351	0	0	12.5	7.675438596
YZYC3H	11	84.9112426	7.45	1.681248928	10.08749357	11.70012009	1.252358895	0.583290444	8.869445874	8.492022645	18.83685023	15.40572997	1.629782124	0	10.89380683	10.5678504
YZYC3L	12	125.6826901	6.54	0.991454606	7.568103489	15.66026156	0.302157594	0.448515179	4.357679052	3.890279024	36.98125679	9.607667249	0.25494547	0.505169728	15.11732213	4.31518814
YZYC4H	12	131.6423442	7.99	0	13.96316102	11.52703506	0.831847891	0.772430184	10.93285799	19.60784314	13.7849079	17.88472965	0	3.149138443	7.130124777	0.415923945
YZYC4L	13	261.4022407	6.89	1.757867876	12.39013326	9.394197146	0.803326718	0.907286646	9.006710141	9.053964654	14.78121161	18.03232209	0.529250543	0.860032133	13.05169644	9.432000756
YZYC5L	12	372.5897921	6.2	1.339199381	12.60877973	18.10094759	0.161960936	0.31666989	5.41723071	6.260877973	23.29820151	17.65374202	0.207890157	0.478630826	8.639528138	5.516341133
YZYC7H	16	26.10340479	7.08	0.601382282	4.820034108	18.89417467	0.323130778	0.152589534	4.308410376	2.764563325	32.89650839	17.17081052	0	0	11.49807019	6.570325824
YZYC7L	16	28.76641772	7.35	2.436944072	7.225539174	16.19349336	2.047033021	0.584866577	7.188985013	3.801632753	31.66808822	12.52589253	0.32898745	0.255879128	11.81917875	3.923479956
