SampleID,Topography,MBT5me_CL,MAAT,SoilTmpt,SWC,pH,Shannon,Observed,VariedBac,CL_ASVs,IIIa_ASVs,SumASVs,Chao1,ACE,Simpson,InvSimpson,Fisher,MAAT_Summer,Tsoil,Tsoil_Summer,altitude(m)
NMCII4H,H,0.389220635,-3.05,10,67.98252982,6.53,7.697065397,5218,9.98829653,37.93079021,0.311691992,28233,6808.727368,6842.553516,0.998700113,769.297618,1853.881458,6.666666667,1.833333333,9.716666667,4854
NMCII4L,L,0.27098241,-3.05,8,109.8195552,6.89,7.272685759,5323,15.26550345,33.28794779,2.166768393,42598,6642.153931,6601.326503,0.995684918,231.7453085,1599.603202,6.666666667,1.833333333,9.716666667,4854
NMCIII5H,H,0.321697793,-3.05,14,94.40124417,6.73,7.41646264,5015,10.66414685,31.50331816,0.647178193,36466,6367.648212,6377.929343,0.997862989,467.9432309,1570.567405,6.666666667,1.833333333,9.716666667,4842
NMCIII5L,L,0.306255329,-3.05,11,130.5741296,6.93,7.091794093,4137,13.72672483,28.10209755,1.208828237,23742,5686.735476,5810.961891,0.996427231,279.8949605,1443.963836,6.666666667,1.833333333,9.716666667,4842
NMCV1H,H,0.491469647,-0.516666667,15,35.6,7.46,7.401527893,4055,6.42249836,71.99965587,0.163459608,34871,5044.893287,4930.737756,0.998740196,793.7744524,1163.552396,9.266666667,2.683333333,9.516666667,4733
NMCV1L,L,0.419231302,-0.516666667,11,70.64846416,7.44,7.242111839,3300,6.932671774,72.90652689,0.112317484,16026,4748.165217,4723.680595,0.998240278,568.2714812,1233.464771,9.266666667,2.683333333,9.516666667,4733
NMCV7H,H,0.29317796,-0.516666667,12,71.96904557,7.23,6.394389454,2715,9.216529259,54.04338431,0.083111702,24064,3899.180556,3869.663064,0.993133488,145.6343549,784.1471835,9.266666667,2.683333333,9.516666667,4728
NMCV7L,L,0.286671295,-0.516666667,9,82.91567587,7.19,6.386704378,2006,5.889363386,10.79499682,0.059359763,23585,2583.003448,2570.050278,0.994862156,194.6341517,523.4173811,9.266666667,2.683333333,9.516666667,4728
NMCVI1H,H,0.275566493,-2.333333333,4,94.02405898,6.25,7.862933951,6528,9.41758945,31.43216841,1.579257701,62751,7566.006536,7436.155331,0.999011761,1011.900522,1830.320867,7.433333333,2.925,10.91666667,4811
NMCVI1L,L,0.259520415,-2.333333333,4,134.6316283,7.04,7.163511122,3066,23.06649543,40.43846602,3.893164328,15463,4525.902439,4573.63859,0.998271327,578.4783688,1126.658397,7.433333333,2.925,10.91666667,4811
NMCVI4H,H,0.32267775,-2.333333333,5,47.08045301,6.56,7.199212606,3582,5.432769483,29.42602646,0.906551415,18973,5400.001587,5492.439228,0.998007165,501.7976669,1303.770551,7.433333333,2.925,10.91666667,4857
NMCVI4L,L,0.285312322,-2.333333333,6,51.86028853,7.24,7.671131097,5003,9.453836149,38.20521016,1.206648554,25028,6805.554974,6920.760973,0.998937597,941.2625654,1852.340819,7.433333333,2.925,10.91666667,4857
NMCVI6H,H,0.294055235,-2.333333333,6,61.52479406,7.95,7.583031974,5239,10.6720021,42.68406618,0.711250414,33181,6886.333333,6954.713095,0.998500772,667.0099832,1747.810635,7.433333333,2.925,10.91666667,4857
NMCVI6L,L,0.222657532,-2.333333333,6,111.1932418,7.59,7.718574376,5791,11.09806225,41.88538049,1.208646262,37149,7152.167286,7216.49594,0.998754763,803.059699,1909.84629,7.433333333,2.925,10.91666667,4857
YZYC3H,H,0.362384254,2.875,11,84.9112426,7.45,7.515362712,5109,7.304342644,25.2455973,0.373875151,38783,6430.976134,6356.454883,0.998477368,656.7574254,1571.380793,11.4,7.466666667,8.216666667,4418
YZYC3L,L,0.297469819,2.875,12,125.6826901,6.54,7.212649644,3101,25.51362857,37.47359219,2.811976397,13727,4803.146893,4768.766346,0.99823965,568.0688871,1239.40362,11.4,7.466666667,8.216666667,4418
YZYC4H,H,0.472169188,2.875,12,131.6423442,7.99,7.22693719,4320,6.497742894,38.53248142,0.179247738,34589,5703.386014,5696.883759,0.997958248,489.775534,1289.628914,11.4,7.466666667,8.216666667,4412
YZYC4L,L,0.397022151,2.875,13,261.4022407,6.89,6.727203987,3053,21.80798419,26.75452143,1.194275713,29139,4352.806818,4252.122069,0.995606851,227.6271479,858.5297131,11.4,7.466666667,8.216666667,4412
YZYC7H,H,0.325917523,2.6,16,26.10340479,7.08,7.52866564,4572,6.5309174,32.10323485,1.000428199,25689,6155.001266,6083.626601,0.99865187,741.768289,1594.514291,11.06666667,7.466666667,8.216666667,4419
YZYC7L,L,0.323640323,2.6,16,28.76641772,7.35,7.326395873,3865,11.36221749,30.33845925,1.373943478,26857,4917.760417,4963.255562,0.998152071,541.1463112,1229.221018,11.06666667,7.466666667,8.216666667,4419
NMCI1H,H,0.327874954,-3.375,6,101.6129032,7.7,7.50447731,3977,7.527002708,21.81715416,0.66883331,21231,5122.658073,5147.010956,0.998598428,713.4844478,1438.166361,6.366666667,1.833333333,9.716666667,4872
NMCIII4L,L,0.311035318,-3.05,10,127.8423331,6.53,6.253973667,2905,20.2999618,38.30974415,3.86953366,22044,4125.936047,4179.862111,0.982542237,57.28110603,894.9121375,6.666666667,1.833333333,9.716666667,4842
